ID,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Answer,Hint
m1,easy,A basket contains 6 red apples and 10 green apples. What is the ratio of red apples to total apples?,6:10,10:16,6:16,16:6,6:16,"First, find the total number of apples in the basket."
m2,easy,A car travels 180 miles on 6 gallons of gas. What is the unit rate in miles per gallon?,30 miles per gallon,6 miles per gallon,180 miles per gallon,0.03 miles per gallon,30 miles per gallon,Unit rate means 'how many miles for 1 gallon?' You need to divide.
m3,easy,What is 25% of 60?,15,20,25,4,15,25% is the same as the fraction 1/4. What is 1/4 of 60?
m4,medium,Solve: 3/4 ÷ 1/2 = ?,3/8,4/6,2/3,3/2 or 1½,3/2 or 1½,"To divide fractions, remember to 'keep, change, flip.' Multiply the first fraction by the reciprocal of the second."
m5,medium,A recipe for one batch of cookies requires 1½ cups of flour. How many cups of flour are needed to make 3 batches?,2½ cups,3 cups,4½ cups,5 cups,4½ cups,You need to multiply the amount for one batch (1½) by 3.
m6,medium,What is the result of 5.2 × 0.4?,20.8,2.08,0.208,208,2.08,"Multiply 52 × 4 first. Then, count the total number of decimal places in the original numbers to place the decimal in the answer."
m7,easy,What is the Greatest Common Factor (GCF) of 12 and 18?,3,6,12,36,6,List the factors of 12 (numbers that divide into it) and the factors of 18. Find the largest number that is in both lists.
m8,easy,Which of the following numbers has the greatest absolute value?,-10,7,-3,0,-10,Absolute value is a number's distance from zero on a number line. It is always a positive value.
m9,medium,"A point is located at (-4, 5) on a coordinate plane. In which quadrant is the point located?",Quadrant I,Quadrant II,Quadrant III,Quadrant IV,Quadrant II,"The order is (x, y). Quadrant I is (+,+). Quadrant II is (-,+). Quadrant III is (-,-). Quadrant IV is (+,-)."
m10,easy,Evaluate the expression: 4² + (10 - 5),13,21,26,11,21,"Follow the order of operations (PEMDAS/BODMAS). Exponents and Parentheses first, then Addition."
m11,medium,Which expression is equivalent to 3(x + 5)?,3x + 5,x + 15,8x,3x + 15,3x + 15,Use the distributive property. Multiply the number outside the parentheses by *each* term inside.
m12,medium,Which of these is a statistical question?,How tall is the principal of your school?,What is the favorite subject of the students in your class?,How many states are in the United States?,What time does your school start?,What is the favorite subject of the students in your class?,A statistical question is one that can have many different answers.
m13,easy,"What is the mean (average) of the following data set: 5, 10, 3, 8, 4",5,6,7,30,6,"To find the mean, add all the numbers together and then divide by how many numbers are in the set."
m14,medium,"What is the median of the following data set: 10, 4, 8, 6, 4, 3",4,5,6,6.83,5,"First, put the numbers in order from least to greatest. Then, find the middle number."
m15,easy,What is the area of a triangle with a base of 8 inches and a height of 6 inches?,14 in²,24 in²,28 in²,48 in²,24 in²,The formula for the area of a triangle is ½ × base × height.
m16,easy,"A box is 5 feet long, 4 feet wide, and 3 feet high. What is its volume?",12 ft³,20 ft³,60 ft³,94 ft²,60 ft³,Volume of a rectangular prism is length × width × height.
m17,medium,"Which algebraic expression represents the phrase 'a number, n, decreased by 7'?",7 - n,n + 7,n/7,n - 7,n - 7,'Decreased by' means you are subtracting from the number that came first.
m18,easy,Solve the equation for x: x + 9 = 22,x = 31,x = 13,x = 2.4,x = 198,x = 13,"To get x by itself, you must do the opposite of adding 9 to both sides."
m19,easy,Solve the equation for y: 4y = 36,y = 32,y = 40,y = 9,y = 144,y = 9,"4y means 4 × y. To get y by itself, do the opposite of multiplying by 4."
m20,medium,Which inequality represents the statement 'You must be at least 12 years old to ride the roller coaster' (where a = age)?,a < 12,a > 12,a ≤ 12,a ≥ 12,a ≥ 12,'At least' means that number or higher. The symbol must include 'equal to.'
m21,medium,What is the Least Common Multiple (LCM) of 6 and 8?,2,14,24,48,24,"List the multiples of 6 (6, 12, 18...) and the multiples of 8 (8, 16, 24...). What is the smallest number in both lists?"
m22,easy,"What is the range of the following data set: 15, 8, 22, 10, 19",14,15,22,14.8,14,Range is the 'distance' between the highest number and the lowest number in the set. (Highest - Lowest).
m23,easy,"A pizza is cut into 8 equal slices. If you eat 2 slices, what percentage of the pizza did you eat?",20%,25%,40%,50%,25%,"First, write the amount you ate as a fraction: 2/8. Then, simplify the fraction and convert it to a percentage."
m24,medium,"The coordinates of a rectangle are (1, 1), (1, 4), (5, 4), and (5, 1). What is the length of the side connecting (1, 1) and (5, 1)?",3 units,4 units,5 units,1 unit,4 units,"The points are (1, 1) and (5, 1). Since the y-values are the same, find the distance between the x-values."
m25,medium,What is the surface area of a cube with all side lengths of 4 cm?,16 cm²,64 cm³,96 cm²,24 cm²,96 cm²,"Find the area of *one* square face, then multiply that by the total number of faces on a cube."
m26,medium,What is 30% of 80?,16,24,30,48,24,30% is the same as 0.30. Multiply 80 by 0.30.
m27,medium,"A recipe calls for 2¾ cups of flour. If you want to make ½ of the recipe, how many cups of flour do you need?",1⅜ cups,2¼ cups,2 cups,5½ cups,1⅜ cups,"You need to multiply 2¾ by ½. First convert 2¾ to an improper fraction (11/4), then multiply by ½."
m28,hard,Solve for x: 3x + 7 = 22,x = 3,x = 5,x = 7,x = 15,x = 5,"First subtract 7 from both sides, then divide by 3."
m29,easy,What is the perimeter of a rectangle that is 8 cm long and 5 cm wide?,13 cm,26 cm,40 cm,20 cm,26 cm,"Perimeter = 2(length + width). Add the length and width, then multiply by 2."
m30,medium,Which fraction is equivalent to 0.625?,3/5,5/8,7/10,6/7,5/8,Convert each fraction to a decimal and see which one equals 0.625. Or divide 5 by 8.
